Country,Budget,Currency
KW,51,HKD
IT,105,HKD
JP,136,HKD
ES,105,HKD
VE,105,HKD
HU,86,HKD
PT,94,HKD
GR,94,HKD
KR,47,HKD
TW,94,HKD
PL,43,HKD
ZM,105,HKD
PR,105,HKD
CI,105,HKD
RO,86,HKD
BH,51,HKD
PA,105,HKD
GH,105,HKD
KH,105,HKD
SN,105,HKD
SA,51,HKD
RU,109,HKD
UG,105,HKD
BR,43,HKD
NI,105,HKD
MG,105,HKD
DO,105,HKD
MX,47,HKD
OM,51,HKD
CM,105,HKD
ZA,105,HKD
CL,105,HKD
KE,105,HKD
NP,105,HKD
PE,105,HKD
UA,105,HKD
MZ,105,HKD
TZ,105,HKD
AO,105,HKD
JO,51,HKD
ZW,105,HKD
TR,86,HKD
MU,105,HKD
SV,105,HKD
TH,47,HKD
CO,105,HKD
LK,105,HKD
CR,105,HKD
AR,51,HKD
MA,51,HKD
MY,105,HKD
KZ,105,HKD
DZ,51,HKD
ID,51,HKD
NG,105,HKD
GT,105,HKD
VN,43,HKD
BY,105,HKD
EG,51,HKD
UY,105,HKD
BD,105,HKD
PK,105,HKD
PH,105,HKD
ET,105,HKD
TN,51,HKD
LB,51,HKD
IN,43,HKD
PY,105,HKD
UZ,105,HKD
EC,105,HKD
MM,105,HKD
GE,105,HKD
US,5254,HUF
CH,4729,HUF
AU,4729,HUF
GB,6130,HUF
DE,6130,HUF
DK,4904,HUF
AT,4203,HUF
NO,4203,HUF
CA,4904,HUF
NL,4904,HUF
SE,4904,HUF
IE,3853,HUF
BE,3853,HUF
FI,3853,HUF
FR,4904,HUF
NZ,4203,HUF
HK,2102,HUF
CZ,4203,HUF
SK,3853,HUF
AE,4904,HUF
SG,4904,HUF
IL,4904,HUF
KW,2277,HUF
IT,4729,HUF
JP,6130,HUF
ES,4729,HUF
VE,4729,HUF
HU,3853,HUF
PT,4203,HUF
GR,4203,HUF
KR,2102,HUF
TW,4203,HUF
PL,1926,HUF
ZM,4729,HUF
PR,4729,HUF
CI,4729,HUF
RO,3853,HUF
BH,2277,HUF
PA,4729,HUF
GH,4729,HUF
KH,4729,HUF
SN,4729,HUF
SA,2277,HUF
RU,4904,HUF
UG,4729,HUF
BR,1926,HUF
NI,4729,HUF
MG,4729,HUF
DO,4729,HUF
MX,2102,HUF
OM,2277,HUF
CM,4729,HUF
ZA,4729,HUF
CL,4729,HUF
KE,4729,HUF
NP,4729,HUF
PE,4729,HUF
UA,4729,HUF
MZ,4729,HUF
TZ,4729,HUF
AO,4729,HUF
JO,2277,HUF
ZW,4729,HUF
TR,3853,HUF
MU,4729,HUF
SV,4729,HUF
TH,2102,HUF
CO,4729,HUF
LK,4729,HUF
CR,4729,HUF
AR,2277,HUF
MA,2277,HUF
MY,4729,HUF
KZ,4729,HUF
DZ,2277,HUF
ID,2277,HUF
NG,4729,HUF
GT,4729,HUF
VN,1926,HUF
BY,4729,HUF
EG,2277,HUF
UY,4729,HUF
BD,4729,HUF
PK,4729,HUF
PH,4729,HUF
ET,4729,HUF
TN,2277,HUF
LB,2277,HUF
IN,1926,HUF
PY,4729,HUF
UZ,4729,HUF
EC,4729,HUF
MM,4729,HUF
GE,4729,HUF
US,234395,IDR
CH,210956,IDR
AU,210956,IDR
GB,273461,IDR
DE,273461,IDR
DK,218769,IDR
AT,187516,IDR
NO,187516,IDR
CA,218769,IDR
NL,218769,IDR
SE,218769,IDR
IE,171890,IDR
BE,171890,IDR
FI,171890,IDR
FR,218769,IDR
NZ,187516,IDR
HK,93758,IDR
CZ,187516,IDR
SK,171890,IDR
AE,218769,IDR
SG,218769,IDR
IL,218769,IDR
KW,101571,IDR
IT,210956,IDR
JP,273461,IDR
ES,210956,IDR
VE,210956,IDR
HU,171890,IDR
PT,187516,IDR
GR,187516,IDR
KR,93758,IDR
TW,187516,IDR
PL,85945,IDR
ZM,210956,IDR
PR,210956,IDR
CI,210956,IDR
RO,171890,IDR
BH,101571,IDR
PA,210956,IDR
GH,210956,IDR
KH,210956,IDR
SN,210956,IDR
SA,101571,IDR
RU,218769,IDR
UG,210956,IDR
BR,85945,IDR
NI,210956,IDR
MG,210956,IDR
DO,210956,IDR
MX,93758,IDR
OM,101571,IDR
CM,210956,IDR
ZA,210956,IDR
CL,210956,IDR
KE,210956,IDR
NP,210956,IDR
PE,210956,IDR
UA,210956,IDR
MZ,210956,IDR
TZ,210956,IDR
AO,210956,IDR
JO,101571,IDR
ZW,210956,IDR
TR,171890,IDR
MU,210956,IDR
SV,210956,IDR
TH,93758,IDR
CO,210956,IDR
LK,210956,IDR
CR,210956,IDR
AR,101571,IDR
MA,101571,IDR
MY,210956,IDR
KZ,210956,IDR
DZ,101571,IDR
ID,101571,IDR
NG,210956,IDR
GT,210956,IDR
VN,85945,IDR
BY,210956,IDR
EG,101571,IDR
UY,210956,IDR
BD,210956,IDR
PK,210956,IDR
PH,210956,IDR
ET,210956,IDR
TN,101571,IDR
LB,101571,IDR
IN,85945,IDR
PY,210956,IDR
UZ,210956,IDR
EC,210956,IDR
MM,210956,IDR
GE,210956,IDR
US,56,ILS
CH,50,ILS
AU,50,ILS
GB,65,ILS
DE,65,ILS
DK,52,ILS
AT,45,ILS
NO,45,ILS
CA,52,ILS
NL,52,ILS
SE,52,ILS
IE,41,ILS
BE,41,ILS
FI,41,ILS
FR,52,ILS
NZ,45,ILS
HK,22,ILS
CZ,45,ILS
SK,41,ILS
AE,52,ILS
SG,52,ILS
IL,52,ILS
KW,24,ILS
IT,50,ILS
JP,65,ILS
ES,50,ILS
VE,50,ILS
HU,41,ILS
PT,45,ILS
GR,45,ILS
KR,22,ILS
TW,45,ILS
PL,21,ILS
ZM,50,ILS
PR,50,ILS
CI,50,ILS
RO,41,ILS
BH,24,ILS
PA,50,ILS
GH,50,ILS
KH,50,ILS
SN,50,ILS
SA,24,ILS
RU,52,ILS
UG,50,ILS
BR,21,ILS
NI,50,ILS
MG,50,ILS
DO,50,ILS
MX,22,ILS
OM,24,ILS
CM,50,ILS
ZA,50,ILS
CL,50,ILS
KE,50,ILS
NP,50,ILS
PE,50,ILS
UA,50,ILS
MZ,50,ILS
TZ,50,ILS
AO,50,ILS
JO,24,ILS
ZW,50,ILS
TR,41,ILS
MU,50,ILS
SV,50,ILS
TH,22,ILS
CO,50,ILS
LK,50,ILS
CR,50,ILS
AR,24,ILS
MA,24,ILS
MY,50,ILS
KZ,50,ILS
DZ,24,ILS
ID,24,ILS
NG,50,ILS
GT,50,ILS
VN,21,ILS
BY,50,ILS
EG,24,ILS
UY,50,ILS
BD,50,ILS
PK,50,ILS
PH,50,ILS
ET,50,ILS
TN,24,ILS
LB,24,ILS
IN,21,ILS
PY,50,ILS
UZ,50,ILS
EC,50,ILS
MM,50,ILS
GE,50,ILS
US,1250,INR
CH,1125,INR
AU,1125,INR
GB,1458,INR
DE,1458,INR
DK,1166,INR
AT,1000,INR
NO,1000,INR
CA,1166,INR
NL,1166,INR
SE,1166,INR
IE,916,INR
BE,916,INR
FI,916,INR
FR,1166,INR
NZ,1000,INR
HK,500,INR
CZ,1000,INR
SK,916,INR
AE,1166,INR
SG,1166,INR
IL,1166,INR
KW,541,INR
IT,1125,INR
JP,1458,INR
ES,1125,INR
VE,1125,INR
HU,916,INR
PT,1000,INR
GR,1000,INR
KR,500,INR
TW,1000,INR
PL,458,INR
ZM,1125,INR
PR,1125,INR
CI,1125,INR
RO,916,INR
BH,541,INR
PA,1125,INR
GH,1125,INR
KH,1125,INR
SN,1125,INR
SA,541,INR
RU,1166,INR
UG,1125,INR
BR,458,INR
NI,1125,INR
MG,1125,INR
DO,1125,INR
MX,500,INR
OM,541,INR
CM,1125,INR
ZA,1125,INR
CL,1125,INR
KE,1125,INR
NP,1125,INR
PE,1125,INR
UA,1125,INR
MZ,1125,INR
TZ,1125,INR
AO,1125,INR
JO,541,INR
ZW,1125,INR
TR,916,INR
MU,1125,INR
SV,1125,INR
TH,500,INR
CO,1125,INR
LK,1125,INR
CR,1125,INR
AR,541,INR
MA,541,INR
MY,1125,INR
KZ,1125,INR
DZ,541,INR
ID,541,INR
NG,1125,INR
GT,1125,INR
VN,458,INR
BY,1125,INR
EG,541,INR
UY,1125,INR
BD,1125,INR
PK,1125,INR
PH,1125,INR
ET,1125,INR
TN,541,INR
LB,541,INR
IN,458,INR
PY,1125,INR
UZ,1125,INR
EC,1125,INR
MM,1125,INR
GE,1125,INR
US,2244,JPY
CH,2020,JPY
AU,2020,JPY
GB,2618,JPY
DE,2618,JPY
DK,2095,JPY
AT,1795,JPY
NO,1795,JPY
CA,2095,JPY
NL,2095,JPY
SE,2095,JPY
IE,1646,JPY
BE,1646,JPY
FI,1646,JPY
FR,2095,JPY
NZ,1795,JPY
HK,898,JPY
CZ,1795,JPY
SK,1646,JPY
AE,2095,JPY
SG,2095,JPY
IL,2095,JPY
KW,973,JPY
IT,2020,JPY
JP,2618,JPY
ES,2020,JPY
VE,2020,JPY
HU,1646,JPY
PT,1795,JPY
GR,1795,JPY
KR,898,JPY
TW,1795,JPY
PL,823,JPY
ZM,2020,JPY
PR,2020,JPY
CI,2020,JPY
RO,1646,JPY
BH,973,JPY
PA,2020,JPY
GH,2020,JPY
KH,2020,JPY
SN,2020,JPY
SA,973,JPY
RU,2095,JPY
UG,2020,JPY
BR,823,JPY
NI,2020,JPY
MG,2020,JPY
DO,2020,JPY
MX,898,JPY
OM,973,JPY
CM,2020,JPY
ZA,2020,JPY
CL,2020,JPY
KE,2020,JPY
NP,2020,JPY
PE,2020,JPY
UA,2020,JPY
MZ,2020,JPY
TZ,2020,JPY
AO,2020,JPY
JO,973,JPY
ZW,2020,JPY
TR,1646,JPY
MU,2020,JPY
SV,2020,JPY
TH,898,JPY
CO,2020,JPY
LK,2020,JPY
CR,2020,JPY
AR,973,JPY
MA,973,JPY
MY,2020,JPY
KZ,2020,JPY
DZ,973,JPY
ID,973,JPY
NG,2020,JPY
GT,2020,JPY
VN,823,JPY
BY,2020,JPY
EG,973,JPY
UY,2020,JPY
BD,2020,JPY
PK,2020,JPY
PH,2020,JPY
ET,2020,JPY
TN,973,JPY
LB,973,JPY
IN,823,JPY
PY,2020,JPY
UZ,2020,JPY
EC,2020,JPY
MM,2020,JPY
GE,2020,JPY
US,19538,KRW
CH,17584,KRW
AU,17584,KRW
GB,22794,KRW
DE,22794,KRW
DK,18235,KRW
AT,15630,KRW
NO,15630,KRW
CA,18235,KRW
NL,18235,KRW
SE,18235,KRW
IE,14328,KRW
BE,14328,KRW
FI,14328,KRW
FR,18235,KRW
NZ,15630,KRW
HK,7815,KRW
CZ,15630,KRW
SK,14328,KRW
AE,18235,KRW
SG,18235,KRW
IL,18235,KRW
KW,8466,KRW
IT,17584,KRW
JP,22794,KRW
ES,17584,KRW
VE,17584,KRW
HU,14328,KRW
PT,15630,KRW
GR,15630,KRW
KR,7815,KRW
TW,15630,KRW
PL,7164,KRW
ZM,17584,KRW
PR,17584,KRW
CI,17584,KRW
RO,14328,KRW
BH,8466,KRW
PA,17584,KRW
GH,17584,KRW
KH,17584,KRW
SN,17584,KRW
SA,8466,KRW
RU,18235,KRW
UG,17584,KRW
BR,7164,KRW
NI,17584,KRW
MG,17584,KRW
DO,17584,KRW
MX,7815,KRW
OM,8466,KRW
CM,17584,KRW
ZA,17584,KRW
CL,17584,KRW
KE,17584,KRW
NP,17584,KRW
PE,17584,KRW
UA,17584,KRW
MZ,17584,KRW
TZ,17584,KRW
AO,17584,KRW
JO,8466,KRW
ZW,17584,KRW
TR,14328,KRW
MU,17584,KRW
SV,17584,KRW
TH,7815,KRW
CO,17584,KRW
LK,17584,KRW
CR,17584,KRW
AR,8466,KRW
MA,8466,KRW
MY,17584,KRW
KZ,17584,KRW
DZ,8466,KRW
ID,8466,KRW
NG,17584,KRW
GT,17584,KRW
VN,7164,KRW
BY,17584,KRW
EG,8466,KRW
UY,17584,KRW
BD,17584,KRW
PK,17584,KRW
PH,17584,KRW
ET,17584,KRW
TN,8466,KRW
LB,8466,KRW
IN,7164,KRW
PY,17584,KRW
UZ,17584,KRW
EC,17584,KRW
MM,17584,KRW
GE,17584,KRW
US,152,MAD
CH,137,MAD
AU,137,MAD
GB,177,MAD
DE,177,MAD
DK,142,MAD
AT,122,MAD
NO,122,MAD
CA,142,MAD
NL,142,MAD
SE,142,MAD
IE,111,MAD
BE,111,MAD
FI,111,MAD
FR,142,MAD
NZ,122,MAD
HK,61,MAD
CZ,122,MAD
SK,111,MAD
AE,142,MAD
SG,142,MAD
IL,142,MAD
KW,66,MAD
IT,137,MAD
JP,177,MAD
ES,137,MAD
VE,137,MAD
HU,111,MAD
PT,122,MAD
GR,122,MAD
KR,61,MAD
TW,122,MAD
PL,56,MAD
ZM,137,MAD
PR,137,MAD
CI,137,MAD
RO,111,MAD
BH,66,MAD
PA,137,MAD
GH,137,MAD
KH,137,MAD
SN,137,MAD
SA,66,MAD
RU,142,MAD
UG,137,MAD
BR,56,MAD
NI,137,MAD
MG,137,MAD
DO,137,MAD
MX,61,MAD
OM,66,MAD
CM,137,MAD
ZA,137,MAD
CL,137,MAD
KE,137,MAD
NP,137,MAD
PE,137,MAD
UA,137,MAD
MZ,137,MAD
TZ,137,MAD
AO,137,MAD
JO,66,MAD
ZW,137,MAD
TR,111,MAD
MU,137,MAD
SV,137,MAD
TH,61,MAD
CO,137,MAD
LK,137,MAD
CR,137,MAD
AR,66,MAD
MA,66,MAD
MY,137,MAD
KZ,137,MAD
DZ,66,MAD
ID,66,MAD
NG,137,MAD
GT,137,MAD
VN,56,MAD
BY,137,MAD
EG,66,MAD
UY,137,MAD
BD,137,MAD
PK,137,MAD
PH,137,MAD
ET,137,MAD
TN,66,MAD
LB,66,MAD
IN,56,MAD
PY,137,MAD
UZ,137,MAD
EC,137,MAD
MM,137,MAD
GE,137,MAD
US,258,MXN
CH,232,MXN
AU,232,MXN
GB,301,MXN
DE,301,MXN
DK,241,MXN
AT,206,MXN
NO,206,MXN
CA,241,MXN
NL,241,MXN
SE,241,MXN
IE,189,MXN
BE,189,MXN
FI,189,MXN
FR,241,MXN
NZ,206,MXN
HK,103,MXN
CZ,206,MXN
SK,189,MXN
AE,241,MXN
SG,241,MXN
IL,241,MXN
KW,112,MXN
IT,232,MXN
JP,301,MXN
ES,232,MXN
VE,232,MXN
HU,189,MXN
PT,206,MXN
GR,206,MXN
KR,103,MXN
TW,206,MXN
PL,95,MXN
ZM,232,MXN
PR,232,MXN
CI,232,MXN
RO,189,MXN
BH,112,MXN
PA,232,MXN
GH,232,MXN
KH,232,MXN
SN,232,MXN
SA,112,MXN
RU,241,MXN
UG,232,MXN
BR,95,MXN
NI,232,MXN
MG,232,MXN
DO,232,MXN
MX,103,MXN
OM,112,MXN
CM,232,MXN
ZA,232,MXN
CL,232,MXN
KE,232,MXN
NP,232,MXN
PE,232,MXN
UA,232,MXN
MZ,232,MXN
TZ,232,MXN
AO,232,MXN
JO,112,MXN
ZW,232,MXN
TR,189,MXN
MU,232,MXN
SV,232,MXN
TH,103,MXN
CO,232,MXN
LK,232,MXN
CR,232,MXN
AR,112,MXN
MA,112,MXN
MY,232,MXN
KZ,232,MXN
DZ,112,MXN
ID,112,MXN
NG,232,MXN
GT,232,MXN
VN,95,MXN
BY,232,MXN
EG,112,MXN
UY,232,MXN
BD,232,MXN
PK,232,MXN
PH,232,MXN
ET,232,MXN
TN,112,MXN
LB,112,MXN
IN,95,MXN
PY,232,MXN
UZ,232,MXN
EC,232,MXN
MM,232,MXN
GE,232,MXN
US,70,MYR
CH,63,MYR
AU,63,MYR
GB,82,MYR
DE,82,MYR
DK,65,MYR
AT,56,MYR
NO,56,MYR
CA,65,MYR
NL,65,MYR
SE,65,MYR
IE,51,MYR
BE,51,MYR
FI,51,MYR
FR,65,MYR
NZ,56,MYR
HK,28,MYR
CZ,56,MYR
SK,51,MYR
AE,65,MYR
SG,65,MYR
IL,65,MYR
KW,30,MYR
IT,63,MYR
JP,82,MYR
ES,63,MYR
VE,63,MYR
HU,51,MYR
PT,56,MYR
GR,56,MYR
KR,28,MYR
TW,56,MYR
PL,26,MYR
ZM,63,MYR
PR,63,MYR
CI,63,MYR
RO,51,MYR
BH,30,MYR
PA,63,MYR
GH,63,MYR
KH,63,MYR
SN,63,MYR
SA,30,MYR
RU,65,MYR
UG,63,MYR
BR,26,MYR
NI,63,MYR
MG,63,MYR
DO,63,MYR
MX,28,MYR
OM,30,MYR
CM,63,MYR
ZA,63,MYR
CL,63,MYR
KE,63,MYR
NP,63,MYR
PE,63,MYR
UA,63,MYR
MZ,63,MYR
TZ,63,MYR
AO,63,MYR
JO,30,MYR
ZW,63,MYR
TR,51,MYR
MU,63,MYR
SV,63,MYR
TH,28,MYR
CO,63,MYR
LK,63,MYR
CR,63,MYR
AR,30,MYR
MA,30,MYR
MY,63,MYR
KZ,63,MYR
DZ,30,MYR
ID,30,MYR
NG,63,MYR
GT,63,MYR
VN,26,MYR
BY,63,MYR
EG,30,MYR
UY,63,MYR
BD,63,MYR
PK,63,MYR
PH,63,MYR
ET,63,MYR
TN,30,MYR
LB,30,MYR
IN,26,MYR
PY,63,MYR
UZ,63,MYR
EC,63,MYR
MM,63,MYR
GE,63,MYR
US,12242,NGN
CH,11017,NGN
AU,11017,NGN
GB,14282,NGN
DE,14282,NGN
DK,11426,NGN
AT,9793,NGN
NO,9793,NGN
CA,11426,NGN
NL,11426,NGN
SE,11426,NGN
IE,8977,NGN
BE,8977,NGN
FI,8977,NGN
FR,11426,NGN
NZ,9793,NGN
HK,4897,NGN
CZ,9793,NGN
SK,8977,NGN
AE,11426,NGN
SG,11426,NGN
IL,11426,NGN
KW,5305,NGN
IT,11017,NGN
JP,14282,NGN
ES,11017,NGN
VE,11017,NGN
HU,8977,NGN
PT,9793,NGN
GR,9793,NGN
KR,4897,NGN
TW,9793,NGN
PL,4489,NGN
ZM,11017,NGN
PR,11017,NGN
CI,11017,NGN
RO,8977,NGN
BH,5305,NGN
PA,11017,NGN
GH,11017,NGN
KH,11017,NGN
SN,11017,NGN
SA,5305,NGN
RU,11426,NGN
UG,11017,NGN
BR,4489,NGN
NI,11017,NGN
MG,11017,NGN
DO,11017,NGN
MX,4897,NGN
OM,5305,NGN
CM,11017,NGN
ZA,11017,NGN
CL,11017,NGN
KE,11017,NGN
NP,11017,NGN
PE,11017,NGN
UA,11017,NGN
MZ,11017,NGN
TZ,11017,NGN
AO,11017,NGN
JO,5305,NGN
ZW,11017,NGN
TR,8977,NGN
MU,11017,NGN
SV,11017,NGN
TH,4897,NGN
CO,11017,NGN
LK,11017,NGN
CR,11017,NGN
AR,5305,NGN
MA,5305,NGN
MY,11017,NGN
KZ,11017,NGN
DZ,5305,NGN
ID,5305,NGN
NG,11017,NGN
GT,11017,NGN
VN,4489,NGN
BY,11017,NGN
EG,5305,NGN
UY,11017,NGN
BD,11017,NGN
PK,11017,NGN
PH,11017,NGN
ET,11017,NGN
TN,5305,NGN
LB,5305,NGN
IN,4489,NGN
PY,11017,NGN
UZ,11017,NGN
EC,11017,NGN
MM,11017,NGN
GE,11017,NGN
US,161,NOK
CH,145,NOK
AU,145,NOK
GB,188,NOK
DE,188,NOK
DK,151,NOK
AT,129,NOK
NO,129,NOK
CA,151,NOK
NL,151,NOK
SE,151,NOK
IE,118,NOK
BE,118,NOK
FI,118,NOK
FR,151,NOK
NZ,129,NOK
HK,65,NOK
CZ,129,NOK
SK,118,NOK
AE,151,NOK
SG,151,NOK
IL,151,NOK
KW,70,NOK
IT,145,NOK
JP,188,NOK
ES,145,NOK
VE,145,NOK
HU,118,NOK
PT,129,NOK
GR,129,NOK
KR,65,NOK
TW,129,NOK
PL,59,NOK
ZM,145,NOK
PR,145,NOK
CI,145,NOK
RO,118,NOK
BH,70,NOK
PA,145,NOK
GH,145,NOK
KH,145,NOK
SN,145,NOK
SA,70,NOK
RU,151,NOK
UG,145,NOK
BR,59,NOK
NI,145,NOK
MG,145,NOK
DO,145,NOK
MX,65,NOK
OM,70,NOK
CM,145,NOK
ZA,145,NOK
CL,145,NOK
KE,145,NOK
NP,145,NOK
PE,145,NOK
UA,145,NOK
MZ,145,NOK
TZ,145,NOK
AO,145,NOK
JO,70,NOK
ZW,145,NOK
TR,118,NOK
MU,145,NOK
SV,145,NOK
TH,65,NOK
CO,145,NOK
LK,145,NOK
CR,145,NOK
AR,70,NOK
MA,70,NOK
MY,145,NOK
KZ,145,NOK
DZ,70,NOK
ID,70,NOK
NG,145,NOK
GT,145,NOK
VN,59,NOK
BY,145,NOK
EG,70,NOK
UY,145,NOK
BD,145,NOK
PK,145,NOK
PH,145,NOK
ET,145,NOK
TN,70,NOK
LB,70,NOK
IN,59,NOK
PY,145,NOK
UZ,145,NOK
EC,145,NOK
MM,145,NOK
GE,145,NOK
US,56,PEN
CH,50,PEN
AU,50,PEN
GB,65,PEN
DE,65,PEN
DK,52,PEN
AT,45,PEN
NO,45,PEN
CA,52,PEN
NL,52,PEN
SE,52,PEN
IE,41,PEN
BE,41,PEN
FI,41,PEN
FR,52,PEN
NZ,45,PEN
HK,22,PEN
CZ,45,PEN
SK,41,PEN
AE,52,PEN
SG,52,PEN
IL,52,PEN
KW,24,PEN
IT,50,PEN
JP,65,PEN
ES,50,PEN
VE,50,PEN
HU,41,PEN
PT,45,PEN
GR,45,PEN
KR,22,PEN
TW,45,PEN
PL,21,PEN
ZM,50,PEN
PR,50,PEN
CI,50,PEN
RO,41,PEN
BH,24,PEN
PA,50,PEN
GH,50,PEN
KH,50,PEN
SN,50,PEN
SA,24,PEN
RU,52,PEN
UG,50,PEN
BR,21,PEN
NI,50,PEN
MG,50,PEN
DO,50,PEN
MX,22,PEN
OM,24,PEN
CM,50,PEN
ZA,50,PEN
CL,50,PEN
KE,50,PEN
NP,50,PEN
PE,50,PEN
UA,50,PEN
MZ,50,PEN
TZ,50,PEN
AO,50,PEN
JO,24,PEN
ZW,50,PEN
TR,41,PEN
MU,50,PEN
SV,50,PEN
TH,22,PEN
CO,50,PEN
LK,50,PEN
CR,50,PEN
AR,24,PEN
MA,24,PEN
MY,50,PEN
KZ,50,PEN
DZ,24,PEN
ID,24,PEN
NG,50,PEN
GT,50,PEN
VN,21,PEN
BY,50,PEN
EG,24,PEN
UY,50,PEN
BD,50,PEN
PK,50,PEN
PH,50,PEN
ET,50,PEN
TN,24,PEN
LB,24,PEN
IN,21,PEN
PY,50,PEN
UZ,50,PEN
EC,50,PEN
MM,50,PEN
GE,50,PEN
US,832,PHP
CH,749,PHP
AU,749,PHP
GB,971,PHP
DE,971,PHP
DK,777,PHP
AT,666,PHP
NO,666,PHP
CA,777,PHP
NL,777,PHP
SE,777,PHP
IE,610,PHP
BE,610,PHP
FI,610,PHP
FR,777,PHP
NZ,666,PHP
HK,333,PHP
CZ,666,PHP
SK,610,PHP
AE,777,PHP
SG,777,PHP
IL,777,PHP
KW,361,PHP
IT,749,PHP
JP,971,PHP
ES,749,PHP
VE,749,PHP
HU,610,PHP
PT,666,PHP
GR,666,PHP
KR,333,PHP
TW,666,PHP
PL,305,PHP
ZM,749,PHP
PR,749,PHP
CI,749,PHP
RO,610,PHP
BH,361,PHP
PA,749,PHP
GH,749,PHP
KH,749,PHP
SN,749,PHP
SA,361,PHP
RU,777,PHP
UG,749,PHP
BR,305,PHP
NI,749,PHP
MG,749,PHP
DO,749,PHP
MX,333,PHP
OM,361,PHP
CM,749,PHP
ZA,749,PHP
CL,749,PHP
KE,749,PHP
NP,749,PHP
PE,749,PHP
UA,749,PHP
MZ,749,PHP
TZ,749,PHP
AO,749,PHP
JO,361,PHP
ZW,749,PHP
TR,610,PHP
MU,749,PHP
SV,749,PHP
TH,333,PHP
CO,749,PHP
LK,749,PHP
CR,749,PHP
AR,361,PHP
MA,361,PHP
MY,749,PHP
KZ,749,PHP
DZ,361,PHP
ID,361,PHP
NG,749,PHP
GT,749,PHP
VN,305,PHP
BY,749,PHP
EG,361,PHP
UY,749,PHP
BD,749,PHP
PK,749,PHP
PH,749,PHP
ET,749,PHP
TN,361,PHP
LB,361,PHP
IN,305,PHP
PY,749,PHP
UZ,749,PHP
EC,749,PHP
MM,749,PHP
GE,749,PHP
US,4272,PKR
CH,3845,PKR
AU,3845,PKR
GB,4984,PKR
DE,4984,PKR
DK,3987,PKR
AT,3418,PKR
NO,3418,PKR
CA,3987,PKR
NL,3987,PKR
SE,3987,PKR
IE,3133,PKR
BE,3133,PKR
FI,3133,PKR
FR,3987,PKR
NZ,3418,PKR
HK,1709,PKR
CZ,3418,PKR
SK,3133,PKR
AE,3987,PKR
SG,3987,PKR
IL,3987,PKR
KW,1851,PKR
IT,3845,PKR
JP,4984,PKR
ES,3845,PKR
VE,3845,PKR
HU,3133,PKR
PT,3418,PKR
GR,3418,PKR
KR,1709,PKR
TW,3418,PKR
PL,1566,PKR
ZM,3845,PKR
PR,3845,PKR
CI,3845,PKR
RO,3133,PKR
BH,1851,PKR
PA,3845,PKR
GH,3845,PKR
KH,3845,PKR
SN,3845,PKR
SA,1851,PKR
RU,3987,PKR
UG,3845,PKR
BR,1566,PKR
NI,3845,PKR
MG,3845,PKR
DO,3845,PKR
MX,1709,PKR
OM,1851,PKR
CM,3845,PKR
ZA,3845,PKR
CL,3845,PKR
KE,3845,PKR
NP,3845,PKR
PE,3845,PKR
UA,3845,PKR
MZ,3845,PKR
TZ,3845,PKR
AO,3845,PKR
JO,1851,PKR
ZW,3845,PKR
TR,3133,PKR
MU,3845,PKR
SV,3845,PKR
TH,1709,PKR
CO,3845,PKR
LK,3845,PKR
CR,3845,PKR
AR,1851,PKR
MA,1851,PKR
MY,3845,PKR
KZ,3845,PKR
DZ,1851,PKR
ID,1851,PKR
NG,3845,PKR
GT,3845,PKR
VN,1566,PKR
BY,3845,PKR
EG,1851,PKR
UY,3845,PKR
BD,3845,PKR
PK,3845,PKR
PH,3845,PKR
ET,3845,PKR
TN,1851,PKR
LB,1851,PKR
IN,1566,PKR
PY,3845,PKR
UZ,3845,PKR
EC,3845,PKR
MM,3845,PKR
GE,3845,PKR
US,60,PLN
CH,54,PLN
AU,54,PLN
GB,70,PLN
DE,70,PLN
DK,56,PLN
AT,48,PLN
NO,48,PLN
CA,56,PLN
NL,56,PLN
SE,56,PLN
IE,44,PLN
BE,44,PLN
FI,44,PLN
FR,56,PLN
NZ,48,PLN
HK,24,PLN
CZ,48,PLN
SK,44,PLN
AE,56,PLN
SG,56,PLN
IL,56,PLN
KW,26,PLN
IT,54,PLN
JP,70,PLN
ES,54,PLN
VE,54,PLN
HU,44,PLN
PT,48,PLN
GR,48,PLN
KR,24,PLN
TW,48,PLN
PL,22,PLN
ZM,54,PLN
PR,54,PLN
CI,54,PLN
RO,44,PLN
BH,26,PLN
PA,54,PLN
GH,54,PLN
KH,54,PLN
SN,54,PLN
SA,26,PLN
RU,56,PLN
UG,54,PLN
BR,22,PLN
NI,54,PLN
MG,54,PLN
DO,54,PLN
MX,24,PLN
OM,26,PLN
CM,54,PLN
ZA,54,PLN
CL,54,PLN
KE,54,PLN
NP,54,PLN
PE,54,PLN
UA,54,PLN
MZ,54,PLN
TZ,54,PLN
AO,54,PLN
JO,26,PLN
ZW,54,PLN
TR,44,PLN
MU,54,PLN
SV,54,PLN
TH,24,PLN
CO,54,PLN
LK,54,PLN
CR,54,PLN
AR,26,PLN
MA,26,PLN
MY,54,PLN
KZ,54,PLN
DZ,26,PLN
ID,26,PLN
NG,54,PLN
GT,54,PLN
VN,22,PLN
BY,54,PLN
EG,26,PLN
UY,54,PLN
BD,54,PLN
PK,54,PLN
PH,54,PLN
ET,54,PLN
TN,26,PLN
LB,26,PLN
IN,22,PLN
PY,54,PLN
UZ,54,PLN
EC,54,PLN
MM,54,PLN
